date,location,time,site,plot,impact,nh4,no3.no2,srp,din,doc,vol.col.l,vol.col.mm
8-Nov-15,Jungle,4,JC,1,Low,0.019864728,0.008169414,0.298496661,0.028034142,65.8,,
8-Nov-15,Jungle,4,JC,2,Low,0.016472828,0.022233175,2.034526608,0.038706003,12.8,,
8-Nov-15,Jungle,4,JC,3,Low,0.01211383,0.013261823,0.540877681,0.025375653,14.7,,
8-May-16,Cougar,5,BG,1,High,,,,,,,
8-May-16,Cougar,5,BG,2,High,0.002602788,0.019148475,0.598580288,0.021751263,62.1,,
8-May-16,Cougar,5,BG,3,High,0.020081548,0.036818908,0.5235318,0.056900456,102.1,,
8-May-16,Hurley,5,HU,1,High,0.008038502,0.045562242,0.299241862,0.053600744,98.3,,
8-May-16,Hurley,5,HU,2,High,0.002867831,0.021714734,0.552215627,0.024582564,86.4,,
8-May-16,Hurley,5,HU,3,High,0.006269366,0.023848984,0.207766287,0.03011835,84.7,,
8-May-16,Hovey,5,HO,1,High,,,,,,0.23,7.092356044
8-May-16,Hovey,5,HO,2,High,0.003722897,0.027521056,0.345036174,0.031243953,76.6,0.19,5.858902819
8-May-16,Hovey,5,HO,3,High,,0.014235185,0.244679782,0.014235185,70.3,,
8-May-16,Blue,5,BC,1,High,,,,,,,
8-May-16,Blue,5,BC,2,High,,,,,,,
8-May-16,Blue,5,BC,3,High,,,,,,,
8-May-16,Jack,5,JA,1,Low,,,,,,,
8-May-16,Jack,5,JA,2,Low,,,,,,,
8-May-16,Jack,5,JA,3,Low,0.005832936,0.035419717,0.2698821,0.041252652,103.8,,
8-May-16,Moonbeam,5,MB,1,Low,0.008613541,0.02955214,0.212224519,0.038165681,84.4,,
8-May-16,Moonbeam,5,MB,2,Low,0.016172405,0.204486526,0.136805305,0.22065893,54.8,,
8-May-16,Moonbeam,5,MB,3,Low,0.00095353,0.145107939,0.086750007,0.146061469,61.2,,
8-May-16,Stand Up,5,SU,1,Low,0.025397384,0.501576122,0.029976468,0.526973506,84.6,0.09,2.775269756
8-May-16,Stand Up,5,SU,2,Low,0.14744901,0.233905008,0.703477065,0.381354018,85.2,0.26,8.017445962
