date,location,time,plot,impact,nh4,no3.no2,srp,din,doc,Volume in Collector (L),,units in mg L-1
4-Jun-16,Blue,6,1,High,0.021407142,0.011262065,2.293917089,0.032669207,,0.13,,
4-Jun-16,Blue,6,2,High,0.005503699,,0.57835033,0.005503699,,0.41,,
4-Jun-16,Blue,6,3,High,,,,,,,,
4-Jun-16,Jack,6,1,Low,0.025361193,0.013595921,1.624756232,0.038957114,,0.19,,
4-Jun-16,Jack,6,2,Low,0.006082584,,0.270425633,0.006082584,,0.86,,
4-Jun-16,Jack,6,3,Low,0.068623102,0.0039881,1.455394629,0.072611203,,0.2,,
4-Jun-16,Moonbeam,6,1,Low,,0.009079838,,0.009079838,,0.73,,
4-Jun-16,Moonbeam,6,2,Low,,0.010027064,,0.010027064,,0.28,,
4-Jun-16,Moonbeam,6,3,Low,,0.009113667,,0.009113667,,0.39,,
4-Jun-16,Stand Up,6,1,Low,,0.016684709,,0.016684709,,0.31,,
4-Jun-16,Stand Up,6,2,Low,,0.002861976,,0.002861976,,0.41,,
4-Jun-16,Stand Up,6,3,Low,,0.001579838,,0.001579838,,0.7,,
4-Jun-16,Jungle,6,1,Low,,0.002861976,,0.002861976,,0.55,,
4-Jun-16,Jungle,6,2,Low,,,,,,,,
4-Jun-16,Jungle,6,3,Low,,0.001579838,,0.001579838,,0.27,,
21-Jun-16,Cougar,7,1,High,,,,,,,,
21-Jun-16,Cougar,7,2,High,0.10298396,0.015914943,2.936729059,0.118898902,,0.2,,
21-Jun-16,Cougar,7,3,High,0.104804497,0.035131845,6.636809789,0.139936342,,0.09,,
21-Jun-16,Hurley,7,1,High,0.066888111,0.027719223,3.490641208,0.094607334,,0.05,,
21-Jun-16,Hurley,7,2,High,0.020033723,0.021984051,2.249017723,0.042017774,,0.27,,
21-Jun-16,Hurley,7,3,High,0.02125616,0.016474093,1.925877419,0.037730253,,0.31,,
21-Jun-16,Hovey,7,1,High,0.063564636,0.046077985,1.775942255,0.109642621,,0.18,,
21-Jun-16,Hovey,7,2,High,0.081912062,0.020271654,2.927164396,0.102183716,,0.27,,
21-Jun-16,Hovey,7,3,High,0.169402783,0.070630112,2.148334517,0.240032895,,0.31,,
21-Jun-16,Blue,7,1,High,0.155719804,0.041550422,4.597236329,0.197270226,,0.23,,
21-Jun-16,Blue,7,2,High,0.303693602,0.051044325,4.10181103,0.354737928,,0.3,,
21-Jun-16,Blue,7,3,High,0.097243659,0.025828208,0.088006028,0.123071868,,0.09,,
21-Jun-16,Jack,7,1,Low,0.017594276,0.034460088,1.982950607,0.052054364,,0.16,,
21-Jun-16,Jack,7,2,Low,0.014835421,0.021739423,0.832140109,0.036574844,,0.22,,
21-Jun-16,Jack,7,3,Low,0.019406669,0.065426909,2.341807056,0.084833578,,0.1,,
21-Jun-16,Moonbeam,7,1,Low,0.004895761,0.007550989,0.783880939,0.01244675,,0.34,,
21-Jun-16,Moonbeam,7,2,Low,0.015162973,0.016854625,1.836720236,0.032017598,,0.14,,
21-Jun-16,Moonbeam,7,3,Low,0.005683876,0.008036362,0.623121967,0.013720238,,0.35,,
21-Jun-16,Stand Up,7,1,Low,0.020934038,0.02502443,1.194846637,0.045958468,,0.17,,
21-Jun-16,Stand Up,7,2,Low,0.022316632,0.02614273,1.869554875,0.048459362,,0.12,,
21-Jun-16,Stand Up,7,3,Low,0.007926973,0.013309458,0.921248863,0.021236431,,0.2,,
21-Jun-16,Jungle,7,1,Low,0.064008912,0.01202419,1.621261081,0.076033102,,0.15,,
21-Jun-16,Jungle,7,2,Low,0.09363697,0.19100659,20.52930036,0.28464356,,0.02,,
21-Jun-16,Jungle,7,3,Low,0.0303507,0.055777687,6.831250901,0.086128387,,0.02,,
13-Jul-16,Hovey,8,1,High,0.101914113,0.107898647,6.482488579,0.20981276,,0.04,,
13-Jul-16,Hovey,8,2,High,0.075706084,0.066421111,215.0360957,0.142127196,,0.09,,
13-Jul-16,Hovey,8,3,High,0.034884708,0.030481898,0.000986437,0.065366606,,0.2,,
13-Jul-16,Blue,8,1,High,,,,,,,,
13-Jul-16,Blue,8,2,High,0.087271216,0.21683625,153.0361405,0.304107466,,0.05,,
13-Jul-16,Blue,8,3,High,3.185174247,0.197010286,82.95386394,3.382184533,,0.01,,
13-Jul-16,Hurley,8,1,High,,,,,,,,
13-Jul-16,Hurley,8,2,High,,,,,,0.03,,
13-Jul-16,Hurley,8,3,High,,,,,,0.04,,
13-Jul-16,Cougar,8,1,High,,,,,,,,
13-Jul-16,Cougar,8,2,High,,,,,,0.04,,
13-Jul-16,Cougar,8,3,High,,,,,,,,
13-Jul-16,Jack,8,1,Low,,,,,,,,
13-Jul-16,Jack,8,2,Low,0.01135148,0.011384235,0.47835874,0.022735714,,0.16,,
13-Jul-16,Jack,8,3,Low,,,,,,,,
13-Jul-16,Moonbeam,8,1,Low,0.011516248,0.019826049,2.177330906,0.031342297,,0.07,,
13-Jul-16,Moonbeam,8,2,Low,0.007750752,0.009163727,213.6500006,0.016914479,,0.04,,
13-Jul-16,Moonbeam,8,3,Low,0.007307489,0.008600508,2.204068487,0.015907997,,0.05,,
13-Jul-16,Stand Up,8,1,Low,,,,,,,,
13-Jul-16,Stand Up,8,2,Low,,,,,,,,
13-Jul-16,Stand Up,8,3,Low,0.009874832,0.014886552,0.844143048,0.024761384,,0.09,,
13-Jul-16,Jungle,8,1,Low,0.01232218,0.018010153,1.737746141,0.030332333,,0.12,,
13-Jul-16,Jungle,8,2,Low,0.041689465,0.074425945,127.9283686,0.11611541,,0.01,,
13-Jul-16,Jungle,8,3,Low,,,,,,,,
21-Jul-16,Cougar,9,1,High,,,,,,,,
21-Jul-16,Cougar,9,2,High,0.043592976,,1.184861445,0.043592976,,0.05,,
21-Jul-16,Cougar,9,3,High,0.049219355,,1.168797586,0.049219355,,0.05,,
21-Jul-16,Hurley,9,1,High,0.023718069,,1.085423697,0.023718069,,0.16,,
21-Jul-16,Hurley,9,2,High,0.012555428,,0.865919303,0.012555428,,0.17,,
21-Jul-16,Hurley,9,3,High,0.027256889,,0.597442338,0.027256889,,0.17,,
21-Jul-16,Hovey,9,1,High,0.012065667,,1.02794743,0.012065667,,0.02,,
21-Jul-16,Hovey,9,2,High,0.01232191,,0.981946197,0.01232191,,0.03,,
21-Jul-16,Hovey,9,3,High,0.004127615,,0.681775618,0.004127615,,0.09,,
21-Jul-16,Blue,9,1,High,0.040972557,,1.172460717,0.040972557,,0.01,,
21-Jul-16,Blue,9,2,High,,,,,,,,
21-Jul-16,Blue,9,3,High,,,,,,,,
21-Jul-16,Jack,9,1,Low,0.002507093,,0.643057039,0.002507093,,0.55,,
21-Jul-16,Jack,9,2,Low,0.003334593,,0.778168686,0.003334593,,0.82,,
21-Jul-16,Jack,9,3,Low,,,0.12609968,,,1.32,,
21-Jul-16,Moonbeam,9,1,Low,,,0.239032339,,,1.59,,
21-Jul-16,Moonbeam,9,2,Low,,,0.362248722,,,1.23,,
21-Jul-16,Moonbeam,9,3,Low,,,0.191917102,,,1.14,,
21-Jul-16,Stand Up,9,1,Low,,,,,,,,
21-Jul-16,Stand Up,9,2,Low,0.003023497,,0.517868353,0.003023497,,0.52,,
21-Jul-16,Stand Up,9,3,Low,,,0.144466872,,,0.88,,
21-Jul-16,Jungle,9,1,Low,0.004441062,,0.316693488,0.004441062,,1.44,,
21-Jul-16,Jungle,9,2,Low,,,,,,,,
21-Jul-16,Jungle,9,3,Low,0.007547325,,0.970861658,0.007547325,,0.07,,
19-Sep-16,Cougar,10,1,High,,,,,,,,
19-Sep-16,Cougar,10,2,High,0.063987953,,2.57417394,0.063987953,,0.04,,
19-Sep-16,Cougar,10,3,High,,,,,,,,
19-Sep-16,Hovey,10,1,High,,,,,,,,
19-Sep-16,Hovey,10,2,High,0.034056656,,6.006935292,0.034056656,,0.06,,
19-Sep-16,Hovey,10,3,High,0.012934967,,2.814457115,0.012934967,,0.11,,
19-Sep-16,Blue,10,1,High,0.068208699,,5.236899071,0.068208699,,0.05,,
19-Sep-16,Blue,10,2,High,0.083079625,,2.505162855,0.083079625,,0.18,,
19-Sep-16,Blue,10,3,High,,,,,,,,
19-Sep-16,Hurley,10,1,High,,,,,,,,
19-Sep-16,Hurley,10,2,High,,,,,,,,
19-Sep-16,Hurley,10,3,High,,,,,,,,
19-Sep-16,Moonbeam,10,1,Low,,,,,,,,
19-Sep-16,Moonbeam,10,2,Low,,,1.519931814,,,0.03,,
19-Sep-16,Moonbeam,10,3,Low,0.02763261,,2.03447248,0.02763261,,0.06,,
19-Sep-16,Jungle,10,1,Low,0.019465856,,1.023694298,0.019465856,,0.07,,
19-Sep-16,Jungle,10,2,Low,,,,,,,,
19-Sep-16,Jungle,10,3,Low,,,,,,,,
19-Sep-16,Jack,10,1,Low,,,,,,,,
19-Sep-16,Jack,10,2,Low,,,,,,,,
19-Sep-16,Jack,10,3,Low,,,,,,,,
19-Sep-16,Stand Up,10,1,Low,,,,,,,,
19-Sep-16,Stand Up,10,2,Low,,,,,,,,
19-Sep-16,Stand Up,10,3,Low,,,,,,,,
